20081	2010-09-23T14:30:26Z	54.969963692	-1.62425632	4195552
106646	2010-09-22T13:22:58Z	55.018081536	-1.596402379	4209630
20081	2010-08-26T14:00:03Z	54.992904883	-1.579507367	2113445
29755	2010-04-01T11:17:23Z	54.7746527728	-1.575615406	18765
4580	2010-05-01T17:24:26Z	54.7742505297	-1.5761518478	18767
5464	2009-11-20T20:08:45Z	54.7772832167	-1.5756612167	18768
714	2010-10-05T15:08:36Z	54.7796031305	-1.5816450119	18769
361	2010-08-04T13:33:32Z	54.9739293333	-1.6132061	24145
714	2010-06-28T11:17:23Z	54.9688232473	-1.6103553772	24223
361	2010-08-04T12:49:52Z	54.9675145258	-1.6019868851	24226
521	2010-04-25T21:07:22Z	54.9674210833	-1.6077969	24228
714	2010-10-20T14:29:08Z	54.9743029167	-1.6092274667	24237
361	2010-08-04T12:47:25Z	54.9679641149	-1.6060638428	24281
361	2010-08-02T12:38:10Z	55.4154454	-1.7053522	24283
39790	2010-01-18T14:38:07Z	55.0398958333	-1.4428136333	24364
74097	2009-10-01T09:55:29Z	54.89989265	-1.390517	27569
74097	2009-09-23T15:49:05Z	54.9028581	-1.38557945	27580
74097	2009-09-24T15:48:32Z	54.8415483	-1.4666044833	27633
74097	2009-09-28T15:59:12Z	54.8420539833	-1.4666190333	31243
361	2010-10-11T06:34:19Z	54.9144	-1.3882	32128
714	2010-10-05T15:27:08Z	54.5210067707	-1.5467119217	35397
20081	2010-10-10T22:12:23Z	54.969336182	-1.616798307	4242733
20081	2010-09-23T14:31:18Z	54.97044211	-1.6134938	4242997
20081	2010-10-03T19:47:51Z	54.979916869	-1.598821126	4243051
57122	2010-03-30T15:17:52Z	54.9721425895	-1.6107577085	49595
9201	2010-07-09T22:10:55Z	54.9747675333	-1.6143915667	49795
34750	2010-10-17T11:54:30Z	54.971310499	-1.696023371	4244353
15392	2010-09-12T20:10:55Z	54.7781164833	-1.5749981667	54844
15392	2010-06-12T13:05:47Z	54.7780894333	-1.5750864167	54845
39803	2010-02-09T12:37:49Z	54.7780894333	-1.5750864167	54848
1312	2009-10-25T11:35:24Z	54.7780023667	-1.5747393167	54849
39803	2010-02-09T12:39:22Z	54.7779261833	-1.57485865	54861
39803	2010-02-09T12:52:14Z	54.7783965833	-1.5755810167	54893
15392	2010-09-09T20:42:29Z	54.7780355	-1.5755329333	54896
29755	2010-04-01T13:32:11Z	54.7770936167	-1.57559065	54899
22149	2010-06-15T14:10:51Z	54.7770599599	-1.5755832195	54901
15392	2010-05-20T16:44:44Z	54.7769980803	-1.5756288171	54905
15392	2010-09-03T13:41:22Z	54.7770733833	-1.5757330167	54908
39785	2010-06-07T10:31:53Z	54.7766367833	-1.5766333333	54910
15392	2010-09-03T11:57:15Z	54.7760548	-1.57733035	54914
39803	2010-02-09T16:47:04Z	54.7760273833	-1.57756225	54915
113647	2009-12-05T11:44:02Z	54.7762519667	-1.5786452333	54927
15392	2010-09-12T11:05:00Z	54.7762519667	-1.5786452333	54929
15392	2010-07-24T12:12:16Z	54.7765261667	-1.5785835833	54932
39803	2010-02-09T17:30:37Z	54.7765283667	-1.5794382	54934
22149	2010-06-16T12:37:44Z	54.6621607	-1.5578742167	55304
22149	2009-10-23T17:46:28Z	54.6620995333	-1.55786605	55311
8469	2010-02-11T20:34:09Z	54.6613001167	-1.5585401	55318
22149	2010-06-16T12:37:14Z	54.66155175	-1.5588982833	55321
